79.00,65.60,80.18,.00,5.24,25.55,.87,79.08,116.57,64.35,.65,2.83,.00,.00,108.37,38.43,.00,.00,.00,64.74
79.20,67.82,81.60,.00,5.24,26.41,.85,79.78,117.95,65.17,.63,2.87,.00,.00,111.11,41.52,.00,.00,.00,67.07
79.40,69.80,83.06,.00,5.24,27.73,.82,79.99,119.48,66.09,.61,2.88,.00,.00,113.23,44.53,.00,.00,.00,69.18
79.60,71.38,84.47,.00,5.24,29.23,.79,79.66,121.07,67.09,.59,2.88,.00,.00,114.39,47.07,.00,.00,.00,70.93
79.80,72.07,85.63,.00,5.24,30.30,.78,78.47,122.44,68.25,.58,2.85,.00,.00,112.80,47.73,.00,.00,.00,71.77
80.00,71.99,86.55,.00,5.24,30.96,.77,76.56,123.62,69.46,.57,2.79,.00,.00,109.22,46.86,.00,.00,.00,71.82
80.20,71.51,87.29,.00,5.24,31.46,.77,74.24,124.78,70.57,.57,2.74,.00,.00,105.38,45.47,.00,.00,.00,71.46
80.40,70.74,87.87,.00,5.24,31.81,.78,71.63,125.94,71.47,.57,2.69,.00,.00,101.98,43.85,.00,.00,.00,70.81
80.60,69.97,88.26,.00,5.24,31.88,.79,68.79,127.41,71.72,.58,2.74,.00,.00,102.35,43.05,.00,.00,.00,70.14
80.80,69.13,88.48,.00,5.23,31.83,.81,65.93,128.91,71.61,.59,2.81,.00,.00,104.33,42.57,.00,.00,.00,69.40
81.00,68.21,88.55,.00,5.23,31.72,.83,63.21,130.31,71.30,.60,2.89,.00,.00,106.85,42.22,.00,.00,.00,68.56
81.20,67.25,88.45,.00,5.23,31.62,.85,60.80,131.52,70.86,.62,2.94,.00,.00,109.43,41.98,.00,.00,.00,67.68
81.40,66.34,88.14,.00,5.23,31.89,.85,59.41,132.14,70.53,.62,2.90,.00,.00,109.85,41.77,.00,.00,.00,66.83
81.60,65.48,87.66,.00,5.23,32.40,.85,58.89,132.25,70.29,.62,2.78,.00,.00,108.61,41.59,.00,.00,.00,66.02
81.80,64.66,87.07,.00,5.23,32.93,.84,58.80,132.08,70.03,.61,2.64,.00,.00,106.96,41.44,.00,.00,.00,65.24
82.00,63.89,86.41,.00,5.23,33.38,.83,59.04,131.68,69.77,.61,2.49,.00,.00,105.21,41.31,.00,.00,.00,64.49
82.20,63.18,85.72,.00,5.23,33.69,.82,59.50,131.09,69.49,.60,2.35,.00,.00,103.60,41.19,.00,.00,.00,63.80
82.40,62.63,85.13,.00,5.23,33.36,.82,59.89,130.40,69.21,.60,2.30,.00,.00,103.80,41.04,.00,.00,.00,63.22
82.60,62.20,84.61,.00,5.23,32.59,.83,60.24,129.64,68.92,.61,2.30,.00,.00,105.22,40.86,.00,.00,.00,62.74
82.80,61.84,84.09,.00,5.22,31.71,.84,60.64,128.79,68.61,.62,2.32,.00,.00,106.77,40.66,.00,.00,.00,62.32
83.00,61.53,83.58,.00,5.22,30.80,.85,61.08,127.89,68.27,.63,2.36,.00,.00,108.22,40.44,.00,.00,.00,61.95
83.20,61.25,83.06,.00,5.22,29.95,.87,61.54,126.97,67.90,.63,2.40,.00,.00,109.31,40.18,.00,.00,.00,61.62
83.40,60.95,82.49,.00,5.22,29.59,.87,61.84,126.14,67.41,.63,2.43,.00,.00,108.85,39.79,.00,.00,.00,61.28
83.60,60.63,81.89,.00,5.22,29.62,.86,62.03,125.37,66.83,.63,2.44,.00,.00,107.09,39.31,.00,.00,.00,60.95
83.80,60.35,81.30,.00,5.22,29.72,.85,62.31,124.61,66.27,.63,2.47,.00,.00,104.90,38.85,.00,.00,.00,60.66
84.00,60.10,80.73,.00,5.22,29.80,.85,62.74,123.84,65.74,.62,2.49,.00,.00,102.46,38.44,.00,.00,.00,60.42
84.20,59.91,80.19,.00,5.22,29.79,.84,63.35,123.07,65.28,.62,2.53,.00,.00,99.92,38.12,.00,.00,.00,60.24
84.40,59.73,79.66,.00,5.22,29.44,.84,64.52,122.18,65.06,.61,2.59,.00,.00,97.53,37.95,.00,.00,.00,60.11
